test_acc,train_loss,test_acc_std
0.09579540528825314,2.3007248499915978,0.061868311069206115
0.09579540528825314,2.3007248499915978,0.061868311069206115
0.2622453402687473,2.063559087336669,0.3758342986542366
0.7910706545296923,0.6536024025166934,0.11549318817658447
0.2622453402687473,1.965040679247874,0.3758342986542366
0.8569570871261378,0.44123216117468644,0.08451871281401818
0.2622453402687473,1.9413706882598611,0.3758342986542366
0.9063719115734721,0.3092442764812764,0.08955149911404528
0.2622453402687473,1.9292459916999274,0.3758342986542366
0.9319462505418292,0.2351886338023104,0.09295419740250792
0.2622453402687473,1.9210685432735826,0.3758342986542366
0.9484178586909406,0.1899139193121171,0.056432611989140374
0.2622453402687473,1.9031119399389091,0.3758342986542366
0.9601213697442567,0.15869236139716453,0.03401788424745485
0.26527958387516254,1.8895797168914397,0.37450651335452745
0.964456003467707,0.1356435076924783,0.030672385905325197
0.2635457303857824,1.873117055706085,0.37526924607968637
0.9683571738188123,0.11812997914844629,0.02800589199447689
0.26744690073688776,1.8646974053196015,0.37361137152515517
0.9713914174252276,0.10424857389708847,0.02772206651641514
0.2743823146944083,1.847269173889963,0.3707585878128411
0.9731252709146078,0.09287893823857409,0.027833463371702085
