test_acc,train_loss,test_acc_std
0.15533165407220823,2.2845244956820197,0.008313998659760473
0.15533165407220823,2.2845244956820197,0.008313998659760473
0.4550797649034425,1.8513460333427687,0.13996362255751615
0.7716204869857263,0.748082696303223,0.08291972468565076
0.380352644836272,1.6735988656121694,0.3856850533788498
0.8219983207388749,0.5007485723897313,0.06932994494144057
0.380352644836272,1.641491261928269,0.3856850533788498
0.887489504617968,0.368367537154994,0.09284671299006707
0.380352644836272,1.6262144787927693,0.3856850533788498
0.9160369437447523,0.2917995907136061,0.10593656281372546
0.380352644836272,1.6041648836618059,0.3856850533788498
0.9370277078085643,0.2419777710377919,0.06238332330274345
0.380352644836272,1.577135659670562,0.3856850533788498
0.9521410579345088,0.2047777850209641,0.035512745753590355
0.380352644836272,1.5470267351758613,0.3856850533788498
0.9571788413098237,0.17629819523132395,0.03240480935732188
0.380352644836272,1.5261729853541663,0.3856850533788498
0.9622166246851386,0.15456593405354632,0.029429197600722955
0.38287153652392947,1.487396684757779,0.38357094785622536
0.9638958858102435,0.13722010754281655,0.02972754246931651
0.380352644836272,1.4799152635289041,0.3856850533788498
0.964735516372796,0.12298546054055835,0.02990135632518912
